object_number,title,format,description,subheadline,text,google_drive_link,video_url,sound_url,external_url,production,photographer_credit,date,people,tags,is_featured
19,"Quote 19",Quote,"""In discussions and workshops...""",,"In discussions and workshops, we end up with bits of paper taped, like big PostIt Notes™.  Each bit of paper might be particular images that we like, or  a key moment of the show or story. For example,  there's going to be a butterfly that lands on a flower, because that symbolises how lost she's feeling. You've got all those things, and then you're placing them in different orders. So that kind of level of detail and just sitting at the laptop isn't from the beginning. The  point where you’re sitting at the laptop is when you've got your bits of paper. You’re asking “What is the journey of the characters? What are the scenes that might happen?",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFDo,,,,Miscellaneous,,,"Sarah Wright",,no
20,"Quote 20",Quote,"""A simple game of ‘keepy uppy’ can really help alertness...""",,"A simple game of ‘keepy uppy’ can really help alertness, awareness of the group, sharpen antennae, focus and build ensemble. A good theatre show needs a good team actively practicing these qualities. Know where your teammates are, know where the focus is and always know what the story is otherwise the ball will run into touch.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFDs,,,,Miscellaneous,,,"Mike Shepherd",,no
21,"Quote 21",Quote,"""I find that my brain works really well...""",,"I find that my brain works really well if I butterfly around an idea, and then I tend to land on something which isn't the thing itself, but it gives me a different map. It's what gives you a fresh view, and that personal map is what will make the piece unique.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFDw,,,,Miscellaneous,,,"Emma Rice",,no
22,"Quote 22",Quote,"""I think about it a lot in my work...""",,"I think about it a lot in my work, which is that we're all scared all the time. Performing is a really scary thing to do, because you're not just scared, as we all are, but you're doing it in front of an audience that may or may not think you're any good, and have lots of ways of showing you that, whether it's reviews or clapping or leaving at the interval. So it's really, really scary. And then what happens when we're scared is, we hold on to what we think is our safe place. Of course, that safe place is useless to us as theatre makers, so you have to do a deal with yourself, which is, be scared. It's unavoidable, no amount of controlling or asking questions or buying time is going to get you out of that scary place  so you might as well jump into it. We’d ask ourselves ‘What's the worst that can happen?’ And if the answer wasn't ‘death’, we'd have a go at anything.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFD0,,,,Miscellaneous,,,"Emma Rice",,no
23,"Quote 23",Quote,"""A good way of storytelling is getting an audience...""",,"A good way of storytelling is getting an audience on the edge of their seat going, “Oh my God, what's going on? What's going to happen next?”",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFD4,,,,Miscellaneous,,,"Mike Shepherd",,no
24,"Quote 24",Quote,"""You can’t rest on what you know....""",,"You can’t rest on what you know, and you can't relax into research. You're sort of dancing at the edge of a precipice all the time, which is what Kneehigh felt like. Kneehigh do no research. There is no psychology. There is no discussion about why, or attempts to piece together any dots of a character’s background. As Nick Darke and Mike (Shepherd) always used to say, everybody's capable of everything.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFD8,,,,Miscellaneous,,,"Emma Rice",,no
25,"Quote 25",Quote,"""I remember Mike Shepherd...""",,"I remember Mike Shepherd telling me that when you’re working outside,  an actor is like a light. If all of the actors are looking at one actor who's in focus at a given moment, that's about the ensemble understanding the story they're telling, beat by beat. An audience will learn from the company where the focus is just as in an indoor theatre, you put a light on someone and the audience will look at them:  but it's a much more interesting kind of light, if it's about the attention of the ensemble connecting with the attention of the audience. I've used that in every piece of work I've ever made.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFEE,,,,Miscellaneous,,,"Tom Morris",,no
26,"Quote 26",Quote,"""I believe that once the body is energised...""",,"I believe that once the body is energised and the blood is oxygenated then creativity comes to the fore.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFEM,,,,Miscellaneous,,,"Mike Shepherd",,no
27,"Quote 27",Quote,"""If you're making a piece of theatre...""",,"If you're making a piece of theatre, you're asking the audience to engage their imagination anyway. A puppet is part of the imagined world created by the performance. A puppet guides our imagination and lets us into that world. We're storytellers. A puppet is play and a puppet is make-believe. It's a vital part of creating an imaginary space, and what can happen in that imaginary space. We're not trying to replicate real life. We're telling stories.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFEg,,,,Miscellaneous,,,"Sarah Wright",,no
28,"Quote 28",Quote,"""In Ubu, Ma and Pa Ubu sail away in a boat...""",,"In Ubu, Ma and Pa Ubu sail away in a boat. The boat is one of my favourite props ever. It's two flat bits of cardboard on two poles that are folded around Ma and Pa and it just looks like the flat side of a boat. There's then a moment where Ubu breaks out of the boat, and the sides of the boat become wings. She's suddenly got two massive cardboard wings. The wings are created from the boat. So there's no puppet, but the puppetry in that moment is absolutely brilliant. One minute you've got a very simple, cut out cardboard boat, and the next minute, there are wings and that boat has taken you to the clouds.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFFA,,,,Ubu,,,"Sarah Wright",,no
29,"Quote 29",Quote,"""In terms of a process for the baby puppets in Dead Dog in a Suitcase...""",,"In terms of a process for the baby puppets in Dead Dog in a Suitcase was that Sarah and Lyndie (Wright) whipped up some prototypes which were brilliant, and we just spent an afternoon playing with them. That informed so much of the actual writing and what the babies did and how they spoke and how they sang.  That's always a really fun thing to do,  before rehearsals even begin: Just have some prototypes and play.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFFI,,,,"Dead Dog in a Suitcase",,,"Carl Grose",,no
30,"Quote 30",Quote,"""If you're testing a story out...""",,"If you're testing a story out, you might make a shadow play of it. This is a great thing for teachers and for students, because a shadow play is a play without words. You're making a storyboard, but you're using a shadow play to do it. If you can tell the story through shadow puppets, you know you can turn it out in the outdoor landscape: it doesn't need explaining. In a classic shadow play, you don't have any text. You can use music and sound, but you don't tell the story, you show it.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFFM,,,,Miscellaneous,,,"Sue Hill",,no
31,"Quote 31",Quote,"""Don’t labour your ideas...""",,"Don’t labour your ideas. Ideas come easy and Emma always said that bad ones (ideas) usually take care of themselves (by dropping away). Be brave. Be present and respond. Be intellectual when you need to be but don’t overdo it, silliness can be the most poignant heartbreaker.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFFQ,,,,Miscellaneous,,,"Ian Ross",,no
32,"Quote 32",Quote,"""Bill (Mitchell) was a really great visual director....""",,"Bill (Mitchell) was a really great visual director, and his work was so visual. His designs weren’t just making sets for people to act in front of. They were playgrounds.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFFU,,,,Miscellaneous,,,"Sue Hill",,no
33,"Quote 33",Quote,"""We would try not to rehearse indoors too much...""",,"We would try not to rehearse indoors too much, because  if you stay indoors, you start talking your ideas out rather than doing them. Try and make the work on your feet.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFFY,,,,Miscellaneous,,,"Sue Hill",,no
34,"Quote 34",Quote,"""Audiences are different outside...""",,"Audiences are different outside. They become closer to you. You’re sharing the same space. You’re sharing the same view.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFFc,,,,Miscellaneous,,,"Bill Mitchell",,no
35,"Quote 35",Quote,"""Months before rehearsals begin....""",,"Months before rehearsals begin, I start work with the creative team. We gaze at books and films, sketch and begin to form a concept; an environment in which the story can live, in which the actors can play. The physical world holds meaning and narrative, it is as much a storytelling tool as the written word.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFF8,,,,Miscellaneous,,,"Emma Rice",,no
36,"Quote 36",Quote,"""In 946 - The Amazing Story of Adolphus Tips, the lighting design...""",,"In 946 - The Amazing Story of Adolphus Tips, the lighting design had to be really dynamic in order to tell us where to look, to describe locations theatrically without  naturalism, really defining situations on stage, whilst having an overall aesthetic that was more like a rock gig than most theatre shows.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFGc,,,,"946: The Amazing Story of Adolphus Tips",,,"Malcolm Rippeth",,no
37,"Quote 37",Quote,"""In The Flying Lovers of Vitebsk, light created magic.""",,"In The Flying Lovers of Vitebsk, light created magic.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFGg,,,,"The Flying Lovers of Vitebsk",,,"Malcolm Rippeth",,no
38,"Quote 38",Quote,"""I like to see the workings of theatre...""",,"I like to see the workings of theatre. I like there to be magic as well, where you don't know how that's happened, but I like to see the workings of it too.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFGk,,,,Miscellaneous,,,"Mike Shepherd",,no
39,"Quote 39",Quote,"""When we started thinking about the musical landscape...""",,"When we started thinking about the musical landscape of Steptoe and Son we knew we wanted to use music to not just locate us in time but also connect us in memory.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFGs,,,,"Steptoe and Son",,,"Stu Barker",,no
40,"Quote 40",Quote,"""Live musicians bring an immediacy...""",,"Live musicians bring an immediacy. It’s important to place the music and give it its full impact. I’m not  keen on underscoring. A live band adds real power to the live storytelling. Much of Kneehigh’s work has been in epic spaces where dense dialogue is not appropriate. In a way we often work filmically where soundtrack leads the action and text is more minimal.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFGw,,,,Miscellaneous,,,"Mike Shepherd",,no
41,"Quote 41",Quote,"""What’s unique about the Kneehigh process is...""",,"What’s unique about the Kneehigh process is that it’s about investment, ownership and generosity. The Barns was the thing for me, how isolated it was, how focused the work was and how the bubble of it came with you on tour around the world.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFG8,,,,Miscellaneous,,,"Ian Ross",,no
42,"Quote 42",Quote,"""Kneehigh already had a kind of a template...""",,"Kneehigh already had a kind of a template, which was like a way of telling stories with their bodies. It became even more important when you took that work outside, we found we could tell stories physically and with music: you still used words, but they weren't carrying the story. They weren't telling people things. You were showing people things, and the music became really important. And of course, Jim Carey was the kind of musician who would write these absolutely divine threads of music, which scored the shows. Quite quickly this kind of physical theatre form developed, which was 
taking the audience on an emotional journey through their eyes as much as through their ears. Then it became even more important. We started to do wild walks and take people on journeys.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFHA,,,,Miscellaneous,,,"Sue Hill",,no
43,"Quote 43",Quote,"""I’m a little bit sceptical of original ideas...""",,,https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFHM,,,,Miscellaneous,,,"Mike Shepherd",,no
