object_number,title,format,description,subheadline,text,google_drive_link,video_url,sound_url,external_url,production,photographer_credit,date,people,tags,is_featured
54,"Quote 54",Quote,"""I always work around an idea...""",,"I always work around an idea. If you know you love it, that's in the bank. Think round it. What does it make you think of? What were the things that were swirling around in your mind? With Brief Encounter I spent the first weeks reading Noel Coward's poetry. I was finding out about these bawdy songs that he was writing, getting my brain completely spinning with this amazing material and that was when I thought, ‘I'm going to put these songs into it’. 

Much of my work and life had been inspired and informed by folk tales. I realised really early on that I felt Laura was like a Selkie and in one of the Selkie stories that she was like the seal woman. She absolutely loved her husband, but actually was not in her natural environment which, of course, is such an amazing feminist, ancient trope to explore. So again, I did what I often do - I just laid the Selkie story across the top. That's where a lot of the film images came in such as the film of her underwater: that was where she  was at her happiest and most natural. She finds herself in this seemingly happy world, but  can barely breathe in it. I loved that it told me which poems to use.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFKw,,,,"Brief Encounter",,,"Emma Rice",,no
55,"Quote 55",Quote,"""Ideas are everywhere""",,"Ideas are everywhere",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFL8,,,,Miscellaneous,,,"Mike Shepherd",,no
56,"Quote 56",Quote,"""I'm a massive believer in dressing up...""",,"I'm a massive believer in dressing up. Always have been. I think everybody changes the minute they dress up, but you have to make sure that the clothes fit. Teachers need to find things that make people less body conscious. You need big, funny clothes because if you're asking people to lose their inhibitions, the last thing you want them to do is to try and squeeze into trousers that don't fit. 

I always think trying to have a way of making a space dark is good because I think acting, creating and improvising is very exposing. If you can black out the windows and just have torches, that’s great. If you haven't got a lighting rig, you don't need it. You can have electric candles, you can have torches. You can have your iPhones on, you know, whatever you might have to see if you can take the edge off so that people don't feel exposed. I think that's 90% of what I do with actors. 

I take the pressure off actors by playing music underneath what they're doing, which is encouraging them not to use words all the time, to work physically, to take it out of the face and into the body. Think about all the things that make you feel exposed: being yourself, being strongly lit, feeling like you have to fill a silence. Take all those fears away, and people will surprise you. And then once they're discovering things, then you can take away the crutches. 

I think normally people build the other way round: rehearse in raw daylight, and then put the lights down.  Do it the other way around, rehearse in the dark, and then bring the lights up when people know what they're doing.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFK0,,,,Miscellaneous,,,"Emma Rice",,no
57,"Quote 57",Quote,"""As soon as you start getting your group to have fun...""",,"As soon as you start getting your group to have fun with what they're doing and play to their strengths, you’re on to a winner because they love what they're doing. What they're doing becomes really funny or engaging and so on. As a director, you can always tailor it into whatever you want. You can dial it down, dial it up…Students often ask “what's the right way of doing this?” and of course, the answer to give is that “YOU are the right way of doing this. Just engage with it and I'll give you some stepping stones to help you do what you do best”.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFK4,,,,Miscellaneous,,,"Giles King",,no
58,"Quote 58",Quote,"""Improvisation is really important for storytelling.""",,"Improvisation is really important for storytelling.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFLA,,,,Miscellaneous,,,"Mike Shepherd",,no
59,"Photograph 59",Photograph,"Backstage at Dead Dog in a Suitcase",,,https://drive.google.com/file/d/1ehFTkWeVrLHaP8quHyJm-eOVCCFOmCRx/view?usp=share_link,,,,"Dead Dog in a Suitcase","Steve Tanner",,"Patrycja Kuwaska",,no
60,"Photograph 60",Photograph,"Mingling with the audience in The Red Shoes",,,https://drive.google.com/file/d/1bmcljHryWhSgaattTKiqsJ5DYVoXMVU_/view?usp=share_link,,,,"The Red Shoes","Steve Tanner",,,,no
61,"Photograph 61",Photograph,"A Very Old Man With Enormous Wings production photograph",,,https://drive.google.com/file/d/1HqOJsYLW8CTuhgLkNa-N2QENtAjbCu70/view?usp=share_link,,,,"A Very Old Man With Enormous Wings","Steve Tanner",,"Sue Hill",,no
62,"Photograph 62",Photograph,"Windfall production photograph",,,https://drive.google.com/file/d/1XsSuq8y5z7HB9IJVtWvIMzvA-pCNjSWk/view?usp=share_link,,,,Windfall,"Steve Tanner",,"Tristan Sturrock",,no
63,"Photograph 63",Photograph,"Dead Dog In A Suitcase at The Asylum, production photograph",,,https://drive.google.com/file/d/1fL6NDJEfP3yj-s55C4cZQbwUT1bOvrnM/view?usp=share_link,,,,"Dead Dog in a Suitcase","Steve Tanner",,,,no
64,"Photograph 64",Photograph,"Tristan & Yseult at The Minack Theatre, production photograph",,,https://drive.google.com/file/d/1gX7XVsYpvusN8G3Ultr20uieNVyRLt_Z/view?usp=share_link,,,,"Tristan & Yseult","Steve Tanner",,,,no
65,"Photograph 65",Photograph,"The Bacchae at Bristol Old Vic, production photograph",,,https://drive.google.com/file/d/1svAV0NPjsROBTpdSQx6TCPjt4oFIMiGQ/view?usp=share_link,,,,"The Bacchae","Steve Tanner",,,,no
66,"Photograph 66",Photograph,"A Matter of Life & Death at The National Theatre, production photograph",,,https://drive.google.com/file/d/1PLovK06k9Ic-BvKl-t2ekJgypgFph2Cb/view?usp=share_link,,,,"A Matter of Life & Death","Steve Tanner",,,,no
67,"Photograph 67",Photograph,"Wild Walks at Kennel Vale",,,https://drive.google.com/file/d/1DL6renKlSIGoH_qRMXSzkeqDmxl_aILm/view?usp=share_link,,,,"Wild Walks","Steve Tanner",,"Anna Maria Murphy",,no
68,"Photograph 68",Photograph,"Ghost Nets performed where the Red River meets the sea at Godrevy",,,https://drive.google.com/file/d/1-AO6AGXkItcamU6DObJ5OIsUOrxbwv7p/view?usp=share_link,,,,"Ghost Nets","Steve Tanner",,,,no
69,"Photograph 69",Photograph,"The Kneehigh Barns (interior)",,,https://drive.google.com/file/d/1QYTacEq6uSVYeAeYXrqyfXf55ZYP4_Gy/view?usp=share_link,,,,Miscellaneous,"Steve Tanner",,,,no
70,"Photograph 70",Photograph,"The Kneehigh Barns (exterior)",,,https://drive.google.com/file/d/14lzcCTc9Llang34VPVMrh9kbK8YTQkm1/view?usp=share_link,,,,Miscellaneous,Steve,,,,no
71,"Photograph 71",Photograph,"Rehearsals for The Tin Drum at the Kneehigh Barns",,,https://drive.google.com/file/d/1BclMGr5rft7BsXmL40ohKnW8-gzQutW4/view?usp=share_link,,,,"The Tin Drum","Steve Tanner",,,,no
72,"Photograph 72",Photograph,"Barns wall",,,https://drive.google.com/file/d/1vmDYsTk7SPMkFGDT7oj156etjFMP5nPI/view?usp=sharing,,,,Miscellaneous,"Steve Tanner",,,,no
73,"Photograph 73",Photograph,"Vault Beach",,,https://drive.google.com/file/d/1bNOlVz4Cbhv9UuP8aqvRQeec8JL3d-nh/view?usp=share_link,,,,Miscellaneous,"Steve Tanner",,,,no
74,"Photograph 74",Photograph,"The company of Don John warming up above Vault Beach",,,https://drive.google.com/file/d/1NAHJ6a7Iwo4287GOmPJmGz4sjhQ0BTLK/view?usp=share_link,,,,"Don John","Steve Tanner",,"Stu Barker, Ian Ross, Dom Lawton, Mary Woodvine, Mike Shepherd, Craig Johnson, Patrycja Kuwaska, Carl Grose",,no
75,"Photograph 75",Photograph,"Run for Your Life at a village hall in Lanner",,,https://drive.google.com/file/d/14BYpMnpMcugP95FfUdYWdhELrbQvXiQ6/view?usp=share_link,,,,"Run For Your Life","Steve Tanner",2016,"Anna Maria Murphy, Tom Jackson Greaves",,no
76,"Photograph 76",Photograph,"Production photograph of The Tin Drum at Liverpool Everyman",,,https://drive.google.com/file/d/1dqtQm_rlPB1B_MumpWHA9VsaMn4CBcIW/view?usp=share_link,,,,"The Tin Drum","Steve Tanner",2017,,,no
77,"Film 77",Film,"The Church Of The Lost Cause","by Brett Harvey","Kneehigh created joyful, anarchic and innovative theatre for over 40 years. Such an unconventional company deserves an unconventional film. The Church Of The Lost Cause is less a traditional documentary more like a family photo album or pages from a scrapbook featuring rarely seen footage from the archive.",NA,https://www.youtube.com/watch?v=Jc-MupgqvnQ,,,Miscellaneous,NA,2025,"Brett Harvey, Bec Applebee, Stu Barker, Nandi Bhebhe, Jim Carey",,no
